Northern Ireland House Price Index,_source_sheet,Table of Contents,Unnamed: 1,Unnamed: 2,"Table 1: NI House Price Index, Standardised Price and Quarterly and Annual Change",Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Table 2: Northern Ireland House Price Index by Type,Table 2a: NI Detached Property Price Index,Table 2b: NI Semi-Detached Property Price Index,Table 2c: NI Terrace Property Price Index,Table 2d: NI Apartments Price Index,Table 3: Northern Ireland House Price Index by Dwelling Type,Table 3a: NI New Dwellings Price Index,Table 3b: NI Existing Resold Dwellings Price Index,Table 3c: Number of Verified Residential Property Sales - New & Old Dwellings,Table 4: Number of Verified Residential Property Sales,Table 5: Standardised House Price & Index for each Local Government District Northern Ireland,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Table 5a: Number of Verified Residential Property Sales by Local Government District,Table 6: Standardised House Price & Index for all Urban and Rural areas in NI,Table 7: Standardised House Price & Index for Rural Areas of Northern Ireland by drive times,"Table 8: Number of Verified Residential Property Sales of properties in urban and rural areas and properties in rural areas by drive times witihn towns of 10,000 or more and within 1 hour of Belfast",Table 9: NI Average Sales Prices Q1 2005 - Q4 2025,Table 10a: Number of Verified Residential Property Sales by Type in Antrim and Newtownabbey Council,Table 10b: Number of Verified Residential Property Sales by Type in Ards and North Down Council,"Table 10c: Number of Verified Residential Property Sales by Type in Armagh City, Banbridge and Craigavon Council",Table 10d: Number of Verified Residential Property Sales by Type in Belfast Council,Table 10e: Number of Verified Residential Property Sales by Type in Causeway Coast and Glens Council,Table 10f: Number of Verified Residential Property Sales by Type in Derry City and Strabane Council,Table 10g: Number of Verified Residential Property Sales by Type in Fermanagh and Omagh Council,Table 10h: Number of Verified Residential Property Sales by Type in Lisburn and Castlereagh Council,Table 10i: Number of Verified Residential Property Sales by Type in Mid and East Antrim Council,Table 10j: Number of Verified Residential Property Sales by Type in Mid Ulster Council,"Table 10k: Number of Verified Residential Property Sales by Type in Newry, Mourne and Down Council"
,Table 2b,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2b,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2b,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2b,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2b,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2b,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2b,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2b,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2b,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2b,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2b,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2b,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2b,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2b,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2b,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2b,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2b,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2b,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2b,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2b,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2b,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2b,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2b,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2b,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2b,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2b,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2b,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2b,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2b,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2b,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2b,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2b,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2b,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2b,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2b,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2b,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2b,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2b,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2c,,,,,,,,,,,,,Index is referenced to Q1 2023 = 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2c,,,,,,,,,,,,,Back to contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2c,,Sale Quarter,NI Terrace Property Price Index,,NI Terrace Property Standardised Price,Quarterly Change,Annual Change,,,,,,Sale Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2c,,Q1,68.94792558417284,,79066.08055733125,,,100.0,,,,,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2c,,Q2,69.96236946347223,,80229.39476587343,0.014713189275882442,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2c,,Q3,75.50697676325771,,86587.67695796651,0.0792512795422167,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2c,,Q4,78.2903520596174,,89779.51447212923,0.03686249159579789,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2c,,Q1,80.75303928554378,,92603.60272341235,0.03145582004856817,0.17121782274593675,100.0,,,,,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2c,,Q2,90.84080567849482,,104171.75569554028,0.12492119779269939,0.2984238008966141,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2c,,Q3,102.4795613305072,,117518.50665537406,0.1281225498285918,0.357219765953794,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2c,,Q4,115.76726393420174,,132756.1886535507,0.12966197777564956,0.4786913187725353,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2c,,Q1,129.67988447186139,,148710.4957175284,0.12017750152208072,0.6058823992161045,100.0,,,,,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2c,,Q2,135.2426836171254,,155089.63942079688,0.042896391895468323,0.48878780419207646,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2c,,Q3,138.0598557754159,,158320.23350936506,0.020830495838621267,0.34719405492143535,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2c,,Q4,132.67933111013858,,152150.113189992,-0.03897240537488259,0.14608678309568668,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2c,,Q1,122.50282170979523,,140480.19411378,-0.07670003545537711,-0.05534445678522696,100.0,,,,,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2c,,Q2,112.60167178245766,,129126.04370051809,-0.08082385196639011,-0.16741025265932227,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2c,,Q3,104.20816162673829,,119500.7802207532,-0.07454161224120479,-0.24519578090639682,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2c,,Q4,93.61030841656992,,107347.684844055,-0.10169887890478929,-0.2944620112769262,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2c,,Q1,87.15418893047341,,99944.12543236124,-0.06896803990182898,-0.28855362093667897,100.0,,,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2c,,Q2,86.85602418159192,,99602.20480379004,-0.0034211178205025656,-0.22864356446328252,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2c,,Q3,87.42800345579845,,100258.1224255077,0.006585372512684626,-0.16102537372307218,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2c,,Q4,86.48049534063585,,99171.56685001454,-0.010837581526628701,-0.07616482838840878,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2c,,Q1,80.24505586700347,,92021.07239270555,-0.07210226362686484,-0.07927482486219505,100.0,,,,,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2c,,Q2,78.13028420939524,,89595.95655601972,-0.026353918440946814,-0.10046211594895904,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2c,,Q3,75.73502511237214,,86849.19155741644,-0.030657242850974653,-0.13374408520421036,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2c,,Q4,71.3988059630021,,81876.62929867556,-0.0572551358230377,-0.17439411416677092,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2c,,Q1,67.2064299779588,,77069.01928645866,-0.05871773243961154,-0.16248509952631376,100.0,,,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2c,,Q2,66.90445812727917,,76722.73286131112,-0.004493198802237682,-0.14368085558258029,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2c,,Q3,64.26973733403139,,73701.36499969666,-0.03938034724435675,-0.151386861776689,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2c,,Q4,62.11313061421766,,71228.27477697331,-0.0335555552157483,-0.13005365038732097,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2c,,Q1,57.0167897942475,,65384.042475488764,-0.08204933110880117,-0.1516170429980156,100.0,,,,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2c,,Q2,58.6918081900012,,67304.87096005269,0.029377634233674288,-0.12275190872414231,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2c,,Q3,57.163943175203656,,65552.79071518395,-0.026031997682733347,-0.11056205383097395,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2c,,Q4,55.66885502244172,,63838.2973591471,-0.02615439155727225,-0.1037506164646747,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2c,,Q1,53.5720844542426,,61433.824283984286,-0.037665056472849144,-0.06041563112261438,100.0,,,,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2c,,Q2,55.3328384526793,,63452.97012923647,0.03286700557527506,-0.05723063986115421,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2c,,Q3,56.84675958504186,,65189.06021743923,0.027360265164370134,-0.005548665339436965,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2c,,Q4,57.36480083177496,,65783.12436946676,0.009112942417731244,0.030464894753979656,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2c,,Q1,58.726720207876845,,67344.90634029637,0.02374137722705221,0.09621868938172384,100.0,,,,,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2c,,Q2,60.65541115070023,,69556.63399074326,0.03284179562550638,0.09619193316050115,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2c,,Q3,62.108439028986105,,71222.89469841814,0.023955453449582272,0.09255900393183988,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2c,,Q4,62.84714067661864,,72070.00131525527,0.011893740354475586,0.09556975297309778,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2c,,Q1,63.410797634912285,,72716.37531553957,0.008968696940310317,0.07976058275440995,100.0,,,,,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2c,,Q2,64.87441458152242,,74394.77904451726,0.02308150979328326,0.06955691752447181,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2c,,Q3,67.33018959416358,,77210.94071051435,0.03785429168775305,0.08407473520209517,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2c,,Q4,68.6449790832789,,78718.67645138755,0.019527488293739834,0.09225301810456518,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2c,,Q1,68.74116551803147,,78828.97831085951,0.001401215879691301,0.08406088681944639,100.0,,,,,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2c,,Q2,72.40952935624273,,83035.67703729942,0.05336487693460793,0.11614925272661297,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2c,,Q3,72.62035123171493,,83277.43716638384,0.0029115211401941,0.07857042538329521,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2c,,Q4,72.62142118332775,,83278.66413412355,1.4733495427554363e-05,0.05792764675803464,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2c,,Q1,71.94033642595458,,82497.62972537843,-0.009378565528947985,0.046539375406486894,100.0,,,,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2c,,Q2,74.00325895184746,,84863.28753500542,0.028675463980018488,0.022009942748886627,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2c,,Q3,74.99178689008889,,85996.88262051312,0.013357897371582638,0.03265524908860941,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2c,,Q4,76.26698260601542,,87459.21417505312,0.017004471673618196,0.050199532910333654,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2c,,Q1,76.13814300446482,,87311.46727434706,-0.0016893234417855844,0.05835122251382407,100.0,,,,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2c,,Q2,78.0521763631366,,89506.38633019898,0.0251389551037452,0.05471269061168906,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2c,,Q3,80.30500903241,,92089.82372591153,0.0288631627488788,0.07085072062769208,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2c,,Q4,80.94960961976975,,92829.01988787974,0.008026903864733956,0.06139782712978334,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2c,,Q1,79.6335824970889,,91319.86488987347,-0.016257362189421188,0.04590917711795382,100.0,,,,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2c,,Q2,80.15270687949409,,91915.17112846966,0.0065189128270622815,0.026911876314438785,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2c,,Q3,82.55093032669062,,94665.33549765046,0.02992067942012423,0.027967387356549543,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2c,,Q4,82.74637683676535,,94889.46391600807,0.0023675870072119463,0.022196119603729293,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2c,,Q1,82.96580888658758,,95141.09776838444,0.002651862936006334,0.041844486773158794,100.0,,,,,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2c,,Q2,84.94415987726526,,97409.77311248361,0.023845376995986923,0.05977905406207806,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2c,,Q3,84.2994364236807,,96670.43605358856,-0.007589967980331004,0.021180937514216628,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2c,,Q4,87.91580029437245,,100817.5037819086,0.04289902784778124,0.06247310946079091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2c,,Q1,87.93814539967646,,100843.1280466136,0.00025416483987170807,0.05993235743516887,,,,,,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2c,,Q2,91.14540896754882,,104521.05972443339,0.03647181269624729,0.07300383097841759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2c,,Q3,95.78019508528202,,109836.00385720964,0.05085046158916635,0.1361902184482011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2c,,Q4,94.88303062868914,,108807.17990642162,-0.009366909889816434,0.07924889850274927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2c,,Q1,96.85647008436905,,111070.22294442162,0.02079865538235889,0.10141588322290687,,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2c,,Q2,98.8164038700819,,113317.77834620123,0.02023544512829761,0.08416216449546289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2c,,Q3,102.97899423682215,,118091.23168037095,0.04212448747085535,0.07515957912938441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2c,,Q4,102.98606154448737,,118099.33612024276,6.862863361212618e-05,0.08540021184091658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2c,,Q1,100,,114675.06801318628,-0.028994812498946445,0.03245554904997783,,,,,,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2c,,Q2,100.40416774987544,,115138.5476552433,0.00404167749875441,0.01606781685641022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2c,,Q3,104.93630069622726,,120335.77419392027,0.045138892616909766,0.019006851580856132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2c,,Q4,103.19673221894254,,118340.92285945806,-0.016577375662598162,0.0020456231775031865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2c,,Q1,103.59790926144707,,118800.97290580341,0.0038874975387145965,0.035979092614470715,,,,,,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2c,,Q2,108.8665284211469,,124842.76551054494,0.05085642362148025,0.08428296216101998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2c,,Q3,112.7477653121282,,129293.57655503062,0.03565133330941583,0.07444006091384708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2c,,Q4,113.08474796782177,,129680.01164463988,0.002988818933667379,0.09581714009994792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2c,,Q1,114.84899706015412,,131703.16549119403,0.01560112326407064,0.10860342529030195,,,,,,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2c,,Q2,115.94730369676867,,132962.6493737251,0.00956304943646391,0.06504088426729296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2c,,Q3,121.86396008709448,,139747.57911343777,0.051028839840893195,0.0808547712651265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2c,,Q4,122.20199053872925,,140135.2157637552,0.0027738344576458806,0.08062309670179207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2d,,,,,,,,,,,,,,Index is referenced to Q1 2023 = 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2d,,,,,,,,,,,,,,Back to contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2d,,Sale Quarter,NI Apartment Price Index,,NI Apartment Standardised Price,Quarterly Change,Annual Change,,,,,,,Sale Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2d,,Q1,80.03794191131414,,95522.96792050316,,,100.0,,,,,,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2d,,Q2,77.59235972139126,,92604.23633525315,-0.030555285799736025,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2d,,Q3,81.22914255894692,,96944.63142825289,0.04687037294153899,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2d,,Q4,83.68898558766875,,99880.3829119983,0.030282764919459283,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2d,,Q1,88.30670437721537,,105391.4966821215,0.05517713898813248,0.10331053333509521,100.0,,,,,,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2d,,Q2,93.09200588006361,,111102.61557187262,0.054189560538994944,0.1997573757819262,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2d,,Q3,105.76023943061239,,126221.78578241314,0.13608293677622624,0.30199871744138596,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2d,,Q4,121.21416689132435,,144665.6010758033,0.14612228134043742,0.44838853094169645,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2d,,Q1,133.56718469941063,,159408.57041790264,0.10191067698515378,0.5125373055352436,100.0,,,,,,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2d,,Q2,142.96238757638162,,170621.4732186511,0.07034065214532025,0.5357106791808656,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2d,,Q3,142.64779078289024,,170246.0110478988,-0.0022005563758739936,0.3487846808107804,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2d,,Q4,140.5694715533865,,167765.59717983071,-0.014569585817609563,0.1596785685902154,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2d,,Q1,137.11803024778948,,163646.40184270727,-0.024553277944750727,0.02658471507331631,100.0,,,,,,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2d,,Q2,131.06011310515052,,156416.45300765897,-0.04418031043540766,-0.08325458655950312,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2d,,Q3,118.65080429918984,,141606.30198827307,-0.09468409962384661,-0.1682254337904453,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2d,,Q4,108.07463938050678,,128983.95515970599,-0.08913690034510181,-0.23116564225354294,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2d,,Q1,98.10299412162115,,117083.08505444256,-0.09226628296928832,-0.28453614784039166,100.0,,,,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2d,,Q2,97.63153677340787,,116520.41435010132,-0.004805738626374628,-0.25506292906158756,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2d,,Q3,98.41584904519748,,117456.46835384908,0.008033390620593276,-0.17054208248743016,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 2d,,Q4,96.16224586310538,,114766.8581598856,-0.0228987831122315,-0.11022376374035826,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
